p,func,a,b,n,result,T_total,T_compute
1,sin(x),0.0000,3.1416,16000000,1.999999999999944,0.078480909,0.078476056
2,sin(x),0.0000,3.1416,16000000,1.999999999999753,0.050742605,0.043573697
4,sin(x),0.0000,3.1416,16000000,1.999999999999916,0.024241878,0.024195188
8,sin(x),0.0000,3.1416,16000000,1.999999999999935,0.040958968,0.016506925
16,sin(x),0.0000,3.1416,16000000,2.000000000000009,0.033708162,0.017020745
1,sin(x),0.0000,3.1416,160000000,2.000000000000163,0.786056075,0.786044214
2,sin(x),0.0000,3.1416,160000000,1.999999999999951,0.458028275,0.447042210
4,sin(x),0.0000,3.1416,160000000,1.999999999999973,0.266868341,0.266796698
8,sin(x),0.0000,3.1416,160000000,2.000000000000044,0.189021904,0.174142326
16,sin(x),0.0000,3.1416,160000000,2.000000000000030,0.143135074,0.143044466
1,exp(-x^2),0.0000,2.0000,16000000,0.882081390762339,0.063478651,0.063474365
2,exp(-x^2),0.0000,2.0000,16000000,0.882081390762310,0.032143474,0.032119445
4,exp(-x^2),0.0000,2.0000,16000000,0.882081390762386,0.031974168,0.023469278
8,exp(-x^2),0.0000,2.0000,16000000,0.882081390762427,0.028925263,0.018001711
16,exp(-x^2),0.0000,2.0000,16000000,0.882081390762427,0.025670991,0.013035480
1,exp(-x^2),0.0000,2.0000,160000000,0.882081390762449,0.681560778,0.681549211
2,exp(-x^2),0.0000,2.0000,160000000,0.882081390762546,0.340207467,0.340167920
4,exp(-x^2),0.0000,2.0000,160000000,0.882081390762555,0.199096286,0.191694580
8,exp(-x^2),0.0000,2.0000,160000000,0.882081390762361,0.143064393,0.129228114
16,exp(-x^2),0.0000,2.0000,160000000,0.882081390762367,0.122213367,0.122121137
1,1/(1+x^2),0.0000,10.0000,16000000,1.471127674303606,0.024997022,0.024993210
2,1/(1+x^2),0.0000,10.0000,16000000,1.471127674303890,0.013481222,0.013463654
4,1/(1+x^2),0.0000,10.0000,16000000,1.471127674303831,0.006658405,0.006609235
8,1/(1+x^2),0.0000,10.0000,16000000,1.471127674303749,0.009414884,0.006455391
16,1/(1+x^2),0.0000,10.0000,16000000,1.471127674303753,0.013022083,0.003847931
1,1/(1+x^2),0.0000,10.0000,160000000,1.471127674303343,0.258093278,0.258082322
2,1/(1+x^2),0.0000,10.0000,160000000,1.471127674303485,0.132742353,0.132696227
4,1/(1+x^2),0.0000,10.0000,160000000,1.471127674303729,0.073536464,0.073493966
8,1/(1+x^2),0.0000,10.0000,160000000,1.471127674303944,0.053912371,0.052084637
16,1/(1+x^2),0.0000,10.0000,160000000,1.471127674303726,0.057890091,0.048245014
